Level	Rule Name	Subject	Property	Value
ERROR	missing_label	https://cdm.ovh/rsm/list2#EmptyList	rdfs:label	
ERROR	missing_label	https://cdm.ovh/rsm/list2#OWLList	rdfs:label	
ERROR	missing_label	https://cdm.ovh/rsm/list2#hasContents	rdfs:label	
ERROR	missing_label	https://cdm.ovh/rsm/list2#hasNext	rdfs:label	
ERROR	missing_label	https://cdm.ovh/rsm/list2#isFollowedBy	rdfs:label	
ERROR	missing_ontology_license	https://cdm.ovh/rsm/list2	dc:license	
WARN	missing_definition	https://cdm.ovh/rsm/list2#EmptyList	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/list2#OWLList	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/list2#hasContents	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/list2#hasNext	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/list2#isFollowedBy	IAO:0000115	
